# An atlas of Standard Star Fields for UBVRI Photometric Calibration
# Paul S. Smith
# Steward Observatory, University of Arizona, Tucson, AZ 85721 USA
# January 1997; revised March 2001
# Abstract: Photometric standard stars chosen from Landolt (1992) are presented 
# in an atlas of 156 charts produced from Digital Sky Survey. Stars 
# are distributed throughout all hours of Right Ascension and most of 
# these UBVRI standards are equatorial. Charts are presented with a 
# 6.8' x 6.8' field of view.
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/atlasinfo.html
#
# To get from CHART to the URL: 
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/cCHART.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c3.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c21.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c153.html#
#
# All tables combined and put in CSV format via an Excel file, which Julia has.
# 
Star,RA (J2000),Dec (J2000),V,B-V,U-B,V-R,R-I,Color,Chart
112 704,20:42:02,+00:19:10,11.452,1.536,1.742,0.822,0.746,RED,127
112 223,20:42:14,+00:09:01,11.424,0.454,0.01,0.273,0.274,,128
112 250,20:42:26,+00:07:43,12.095,0.532,-0.025,0.317,0.323,,128
112 275,20:42:36,+00:07:21,9.905,1.21,1.299,0.647,0.569,,128
112 805,20:42:46,+00:16:08,12.086,0.152,0.15,0.063,0.075,,129
112 822,20:42:55,+00:15:04,11.549,1.031,0.883,0.558,0.502,,129
MARK A2,20:43:54,-10:45:32,14.54,0.666,0.096,0.379,0.371,,130
MARK A1,20:43:58,-10:47:11,15.911,0.609,-0.014,0.367,0.373,,130
MARK A,20:43:59,-10:47:42,13.258,-0.242,-1.162,-0.115,-0.125,BLUE,130
MARK A3,20:44:02,-10:45:39,14.818,0.938,0.651,0.587,0.51,,130
113 221,21:40:36,+00:21:00,12.071,1.031,0.874,0.55,0.49,,131
113 339,21:40:56,+00:27:57,12.25,0.568,-0.034,0.34,0.347,,132
113 241,21:41:09,+00:25:50,14.352,1.344,1.452,0.897,0.797,,132
113 259,21:41:44,+00:17:37,11.742,1.194,1.221,0.621,0.543,,133
113 466,21:41:28,+00:40:14,10.004,0.454,-0.001,0.281,0.282,,134
113 475,21:41:51,+00:39:19,10.306,1.058,0.844,0.57,0.527,,134
113 260,21:41:48,+00:23:52,12.406,0.514,0.069,0.308,0.298,,135
113 492,21:42:28,+00:38:21,12.174,0.553,0.005,0.342,0.341,,136
113 163,21:42:35,+00:16:46,14.54,0.658,0.106,0.38,0.355,,137
113 177,21:42:56,+00:14:46,13.56,0.789,0.318,0.456,0.436,,"137,138"
113 182,21:43:08,+00:14:51,14.37,0.659,0.065,0.402,0.422,,138
113 195,21:43:40,+00:17:22,13.692,0.73,0.201,0.418,0.413,,139
G93 48,21:52:25,+02:23:20,12.739,-0.008,-0.792,-0.097,-0.094,BLUE,140
PG2213-006A,22:16:24,-00:21:27,14.178,0.673,0.1,0.406,0.403,,141
PG2213-006,22:16:28,-00:21:15,14.124,-0.217,-1.125,-0.092,-0.11,BLUE,141
G156 31,22:38:28,-15:19:17,12.361,1.993,1.408,1.648,2.042,RED,142
114 531,22:40:37,+00:51:56,12.094,0.733,0.186,0.422,0.403,,143
114 637,22:40:43,+01:03:10,12.07,0.801,0.307,0.456,0.415,,144
114 548,22:41:37,+00:59:07,11.601,1.362,1.573,0.738,0.651,,146
114 750,22:41:45,+01:12:38,11.916,-0.041,-0.354,0.027,-0.015,BLUE,145
114 670,22:42:10,+01:10:17,11.101,1.206,1.223,0.645,0.561,,147
114 176,22:43:11,+00:21:16,9.239,1.485,1.853,0.8,0.717,RED,148
G156 57,22:53:16,-14:15:38,10.18,1.556,1.182,1.174,1.542,RED,149
GD 246,23:12:23,+10:47:04,13.094,-0.318,-1.187,-0.148,-0.183,BLUE,150
F 108,23:16:12,-01:50:35,12.958,-0.235,-1.052,-0.103,-0.135,BLUE,151
115 486,23:41:33,+01:16:45,12.482,0.493,-0.049,0.298,0.308,,152
115 420,23:42:36,+01:05:58,11.161,0.468,-0.027,0.286,0.293,,153
115 271,23:42:41,+00:45:10,9.695,0.615,0.101,0.353,0.349,,154
115 516,23:44:15,+01:14:13,10.434,1.028,0.759,0.563,0.534,,155
PG2349+002,23:51:53,+00:28:17,13.277,-0.191,-0.921,-0.103,-0.116,BLUE,156
